lat,lng,type,road_type,dist_water,dist_hospital,building_density,time,risk
31.336933500000004,75.563151,0,0.0,0.02343396216234966,0.0,70,1,2
31.31000299999999,75.5904245,0,0.0,0.036775927973798375,0.0,81,1,2
31.317475,75.57586669999999,0,0.0,0.04339642794527705,0.0,79,0,1
31.313173199999998,75.5691961,0,0.0,0.039093323339110246,0.0,59,1,2
31.3211894,75.57011109999999,0,0.0,0.03908344471487476,0.0,69,1,2
31.3154072,75.57292139999998,0,0.0,0.043298927796380296,0.0,85,1,2
31.334796299999997,75.5600794,0,0.0,0.02481519683538671,0.0,54,1,2
31.333367199999998,75.5641823,0,0.0,0.026967322167787553,0.0,60,0,1
31.3133512,75.57718119999998,0,0.0,0.04605106567836343,0.0,81,1,2
31.3130423,75.5845973,0,0.0,0.0419403213056286,0.0,104,0,1
31.315974399999998,75.57880749999998,0,0.0,0.04545228137332052,0.0,76,0,1
31.310565100000005,75.5780987,0,0.0,0.0432537327979885,0.0,79,1,2
31.31993999999999,75.59466099999999,0,0.0,0.04514467708136698,0.0,54,1,2
31.323289399999993,75.56651429999998,0,0.0,0.03509341736668145,0.0,65,0,1
31.323244800000005,75.57544309999999,0,0.0,0.037642883928436635,0.0,68,1,2
31.3230986,75.5684515,0,0.0,0.036883732874415695,0.0,68,1,2
31.320108999999995,75.57274099999998,0,0.0,0.040355060266867186,0.0,72,0,1
31.3234269,75.56672349999998,0,0.0,0.035209053247936044,0.0,68,1,2
31.330193899999998,75.56611199999999,0,0.0,0.030138661986417705,0.0,78,1,2
31.317847399999994,75.57341289999998,0,0.0,0.04267707195737064,0.0,82,1,2
31.342939599999998,75.58166209999999,0,0.0,0.021746414287285753,0.0,33,0,1
31.3236823,75.5668938,0,0.0,0.03523554587040886,0.0,67,1,2
31.3298995,75.56665109999999,0,0.0,0.030394872707307785,0.0,80,0,1
31.34284329999999,75.5874932,0,0.0,0.025766721919770693,0.0,13,1,2
31.323734600000005,75.56645709999998,0,0.0,0.034827177041514085,0.0,68,0,1
31.3117453,75.5887184,0,0.0,0.03902887280114512,0.0,85,1,2
