lat,lng,type,road_type,dist_water,dist_hospital,dist_road,forest_density,building_density,time,weather,elevation,slope,landslide,network,risk,cluster
32.25604103613161,77.17767548063846,0,1,0.9335517452389404,1.3725734424381089,0.0,0,0,0,0,1556.041036131613,45.60410361316144,0,1,2,0
32.24597213156943,77.18984752509266,0,1,0.671745920894237,0.08720790409007,0.0,0,40,0,0,1545.972131569431,44.597213156943326,0,0,1,0
32.244381836939475,77.18948409226559,0,1,0.4968059656404296,0.1053906526268071,0.0,0,40,0,0,1544.3818369394749,44.438183693947394,0,0,1,0
32.25711328035207,77.17596787594456,0,1,1.117228291759075,1.5632782877529727,0.0,0,0,0,0,1557.1132803520727,45.71132803520732,0,1,2,0
32.257007614912844,77.17584416694247,0,1,1.125413762404379,1.5609846730111103,0.0,0,0,0,0,1557.007614912844,45.70076149128454,0,1,2,0
32.25694142241848,77.17600365338029,0,1,1.109046387009488,1.5460188742425185,0.0,0,0,0,0,1556.9414224184784,45.69414224184766,0,1,2,0
32.26556128597241,77.18778771701977,0,1,1.2367369822057683,2.194349209830208,0.0,1,0,0,0,1565.56128597241,46.55612859724079,0,1,2,1
32.20394400500786,77.20028398299878,0,1,1.5296524054920817,4.046451923625822,0.0,0,0,0,0,1503.9440050078624,40.394400500786105,0,1,2,0
32.24624873397023,77.19026966335166,0,1,0.7030568359314399,0.136064928735323,0.0,0,40,0,0,1546.2487339702334,44.62487339702329,0,0,1,0
32.24499997971327,77.19178168986691,0,1,0.5892128711501501,0.2354250977022116,0.0,0,40,0,0,1544.9999797132705,44.49999797132705,0,0,1,0
32.24616821053611,77.19119384457814,0,1,0.7032145895450737,0.2000501664758625,0.0,0,40,0,0,1546.168210536112,44.61682105361115,0,0,1,0
32.24553640000009,77.19159949999998,0,1,0.6421546481126247,0.2165354036299338,0.0,0,40,0,0,1545.5364000000914,44.55364000000918,0,0,1,0
32.25673680620931,77.18965677440215,0,1,0.3304652561618045,1.2551898101565908,0.0,0,0,0,0,1556.736806209311,45.67368062093101,0,1,2,0
32.246175574108506,77.1906699880836,0,1,0.6975541240534033,0.1585548117223328,0.0,0,40,0,0,1546.1755741085058,44.61755741085062,0,0,1,0
32.24339641572873,77.1883036136167,0,1,0.4153463088378867,0.1795634159382151,0.0,0,40,0,0,1543.396415728732,44.339641572873006,0,0,1,0
32.259786447149175,77.1878987981155,0,1,0.5958164495149869,1.5561395957263169,0.0,1,0,0,0,1559.7864471491746,45.978644714917664,0,1,2,1
32.24586686484297,77.17883413144894,0,1,0.9736411170912008,0.6715095554843918,0.0,0,32,0,0,1545.8668648429666,44.58668648429648,0,0,1,0
32.24366125059024,77.18810065000001,0,1,0.4498438421478571,0.1546158785201007,0.0,0,40,0,0,1543.661250590243,44.3661250590244,0,0,1,0
32.24400697884438,77.18849722369636,0,1,0.4734069417136144,0.1097803281808181,0.0,0,40,0,0,1544.006978844382,44.40069788443816,0,0,1,0
